stars,comment
1.0 out of 5 stars,"







  
  
    I ordered two sets of three packs (60 cards total) and only received two packs (20 cards). Would not recommend.
  
"
5.0 out of 5 stars,"







  
  
    Mon fils a été bien content de ce qu’il a reçu
  
"
1.0 out of 5 stars,"







  
  
    Packs are clearly resealed and packed with nothing good. You can tell by how easy the packs open and the wrinkles in them from being resealed. Don’t waste your money
  
"
5.0 out of 5 stars,"







  
  
    My son was very happy. No rare cards but the packages were factory sealed, arrived quickly and made a great stocking stuffer this year for Christmas.
  
"
5.0 out of 5 stars,"







  
  
    This is a excellent gift so great that I ordered (3) more. Very fast shipping. A must have item if you are a collector!!! Excellent product well worth the money!!!
  
"
1.0 out of 5 stars,"







  
  
    Ordered 3 booster packs. Only received 1. How come this did not happen to the other buyers?
  
"
5.0 out of 5 stars,"







  
  
    Kids (6 and 8) are very happy with these cards. Got some good ones apparently.  Packages still intact and well wrapped.
  
"
4.0 out of 5 stars,"







  
  
    The value is there at $16.50 a order comes with 3 packs, I was kind a hoping for more older packs ordering such a high quantity I was expecting it but unfortunately no old packs but the value is there!I don’t recommend purchasing this product if you are looking for older packs
  
"
1.0 out of 5 stars,"







  
  
    2 out of 3 packs were very obviously resealed. It's like they didn't even care to hide it. The cards were in good condition but every one of them were common.
  
"
5.0 out of 5 stars,"







  
  
    Exactly as depicted!
  
"
3.0 out of 5 stars,"







  
  
    First and foremost, this was purchased from K STAMPS, so I'm referring to my experiences with products from them. Nothing else.I ordered one set of 3 packs and received the following: Roaring Skies, Primal Clash and Darkness Ablaze. The primal clash was the pack I felt was resealed, so I decided to take a closer look at all the cards I got after opening it. One of the cards, a Treecko, stuck out because while the other cards in the pack were dated 2015, the Treecko was dated 2014. I'm not saying it's fake, because I know there were prints of Treecko in 2014, but it's not normal to get cards of different years in the same pack. Add to that the slit I found at the top of the pack, and it looks suspicious. The other packs looked fine and I did get a decent pull, but that one pack was definitely tampered with.I contacted K STAMPS, and they assured me that they don't tamper with the cards at all. They stated they actually send the envelopes of 3 packs each to amazon in bulk, which explains why they are fulfilled by amazon. However, the envelope I got was sealed and didn't look damaged at all or like it had been opened before. So, is it K STAMPS or Amazon workers tampering with these cards? At this point, it could be either as I honestly have no clue.TL:DR: One of the packs was resealed, and I'm upset.
  
"
3.0 out of 5 stars,"







  
  
    My son was expecting the packs in the picture. Instead he received 3 packs that were worth much less. My bad for not reading the description. We’ll know better next time.
  
"
1.0 out of 5 stars,"







  
  
    Fraudulent items. These cards have very clearly been opened and resealed. The card backs differ in colour within one pack, some cards have scratches on them and the print dates on the cards differ within one pack. One pack felt bumpy - poor reseal job, the other two had fairly large unsealed corners. It was hard to get good pictures, but it's very obvious in person - especially the colour differences and the scratches. Brutal.
  
"
1.0 out of 5 stars,"







  
  
    Only received one of the 3 packs.
  
"
5.0 out of 5 stars,"







  
  
    These were a good batch of cards. My nephew got a few rare ones out of them.
  
"
3.0 out of 5 stars,"







  
  
    Disappointed. Received only 20 cards and I can't return and exchange it.. wtf
  
"
5.0 out of 5 stars,"







  
  
    mon loulou était aux anges quand il a reçu ses cartes :)
  
"
4.0 out of 5 stars,"







  
  
    My son was expecting more special rare cards but only found one. Overall he enjoyed the gift
  
"
1.0 out of 5 stars,"







  
  
    Hi,  I orderedPokemon TCG: 3 Booster Packs 30 Cards Total| Value Pack Includes 3 Blister Packs of Random Cards | and only received one pack.
  
"
1.0 out of 5 stars,"







  
  
    Resealed packsObviously no good cards
  
"
1.0 out of 5 stars,"







  
  
    Weighted packs.  Multiple orders, never get a holo.  Very upsetting. Ordered $100 worth of cards and not one good pull.
  
"
1.0 out of 5 stars,"







  
  
    Packs have clearly been opened. All good cards removed. Very disappointed. Don’t waste your money.
  
"
3.0 out of 5 stars,"







  
  
    I bought 6 packs and some of them showed signs of re-packaging. Still got some decent cards though.
  
"
1.0 out of 5 stars,"







  
  
    Resealed bags, missing cardsDisgustingI will be returning this DO NOT BUY
  
"
1.0 out of 5 stars,"







  
  
    Bon quoi de plus à dire ce sont des cartes carrément nuisible et cher pour des resemblances a des vrais cartes Pokémon. Svp trouver aller sur la page Pokémon.ca center Là vous êtes sûr d'avoir ce que vous payez.
  
"
5.0 out of 5 stars,"







  
  
    Bought these for my 7 year old son. He’s just starting to collect Pokémon cards & was beyond pleased with the 3 packages he received!Just because of some bad reviews, we had a friend (a long-time Pokémon card collector) check over the cards & packaging to ensure that we were getting what we had paid for. The cards & packaging we received are brand new, not resealed, and authentic.I am also pleased with the customer service I received after purchasing. The seller responded quickly and was very friendly & accommodating.I will be purchasing more cards from this seller in the future
  
"
1.0 out of 5 stars,"







  
  
    The booster packs that were shipped are only worth 6$ compared to the ones in the photo. There are no descriptions that tells the buyer which pack is going to be shipped. This is very misleading and people that do not know about pokemon prices will be ripped off.
  
"
1.0 out of 5 stars,"







  
  
    Only received 1 package. I really didn’t look at the package but while wrapping up the gift I noticed there is only 10 cards in the package not 30! Totally ripped off!
  
"
1.0 out of 5 stars,"







  
  
    The product was a gift for a 9 year old. The problem is, based on the photo they use I was at least expecting some variety in pacs. But they were all from Sword and Shield series, bummer.
  
"
5.0 out of 5 stars,"







  
  
    Value for money - definitely yesGiftable - definitely yesDurability - definitely yes
  
"
3.0 out of 5 stars,"







  
  
    Decent packs, it's not bad but pulls may vary. I got 3 shiny cards that look to be holo or reverse holo , so it's not the best. I look forward to other people's reviews.Overall, 5/10 satisfaction.
  
"
5.0 out of 5 stars,"







  
  
    Packs were sealed and great condition. No issues with my packs
  
"
1.0 out of 5 stars,"







  
  
    Would love to know where the good cards went from each deck
  
"
1.0 out of 5 stars,"







  
  
    BOUGHT THIS AS A GIFT FOR MY SON. HE WAS SO DISAPPOINTED. NOT EVEN ONE GOOD CARD. ALL WENT TO THE GARBAGE BIN. WHAT'S A SHAME. WHAT A WASTE OF MONEY
  
"
4.0 out of 5 stars,"







  
  
    Livraison parfait rapide le prix un peux chère
  
"
4.0 out of 5 stars,"







  
  
    My Granddaughter was very pleased with her Pokémon cards.
  
"
4.0 out of 5 stars,"







  
  
    My son just started collecting these, he was happy with them.
  
"
2.0 out of 5 stars,"







  
  
    I read many reviews warning that these had been resealed packs. But then some reviews had indicated that they got great pulls and all were factory sealed. So I took a chance and only ordered 3 packs. So this review is based on a small sample size.All the reviews indicating that these are resealed are fact. This company clearly goes to great efforts to reseal them as to the naked eye one probably can't tell. But anyone who knows what to look for can easily tell. And these were certainly resealed. I was disappointed before I had even opened the packs.Once I opened them, the clear indicator was that the card counts were off. A booster pack consists of 10 randomly sorted cards  and guaranteed to have 6 commons, 3 uncommons and 1 rare. Each blister will also have at least 1 foil card.What did I get?4 - rares11 - Uncommons15 commons3 of these cards were foil cards.At first glance you immediately think that this is a great pull as I got 1 additional rare and 2 additional uncommon. You are right, based on pure rarity counts, it's a good pull. But not everything is treated equal. And the fact the counts are off is your proof that they have been tampered with. And despite the additional rarities, every card was mediocre at best with little to no value.A card and collectibles store in my area sells blister packs(opened) for 5$ a pop. The key difference here is that they TELL you they have been opened and they TELL you that you won't get anything other than standard rares. But that is why they only charge 5$. And the pulls you would expect is exactly what you would are probably going to get from this company.I can't say DONT buy them. Just buyer beware. These have been resealed. Might be a good gift at a cheaper price for young kids getting into Pokemon. Collectors should absolutely look elsewhere.Hopefully this review was helpful.
  
"
1.0 out of 5 stars,"







  
  
    1 out of 6 packs had an ok card. Bought more from a reputable dealer in town and it was a completely different experience. These packs are 100% weighed opened and resealed I have no idea how amazon can allow the sale of this stuff. There isnt a single pokemon dealer on here that isnt rated horribly for resealing. Disgusting.
  
"
5.0 out of 5 stars,"







  
  
    In fairness after learning what is fake and what isn't, and learing about the game and the value of cards... I think it's a good price.I don't have anything to back that up upon but... my child is excited when he gets these and his smile and happiness is worth more than investigating this set.
  
"
5.0 out of 5 stars,"







  
  
    I bought these for my 7 year old son who was so happy with the selection! His reaction alone was priceless. The package also came before scheduled and was packaged well.I would highly recommend.
  
"
1.0 out of 5 stars,"







  
  
    Some packs were resealed. They even contained not 10 but 11 cards in them. Recived a few holo cards but won't be ordering these again.
  
"
1.0 out of 5 stars,"







  
  
    Pretty sure these were resealed - too easy to open and awful holos.
  
"
3.0 out of 5 stars,"







  
  
    The packs are clearly not reseated and are official, usually get good pulls when I order this product, but the false advertising is a let down. It is advertised in the photo that this includes three random X/Y series packs, nowhere does it say that you are getting modern packs even though I have payed for what was advertised. Either change how this product is presented or follow up on your promise. I have ordered this item many times, and not once have I ever even seen a single Sun/Moon or X/Y pack, even though that is what I payed for. Please make up for this in some way. False advertising is not cool.
  
"
3.0 out of 5 stars,"







  
  
    Don’t know if there repackaged but still ok
  
"
1.0 out of 5 stars,"







  
  
    Ordered a 3-pack (30 cards) and received a single pack (10 cards) with a printed sticky label stuck on it that says 30 cards. Ony option was to attemp to return, but ended up being charged ful amount in the end and no ability to raise a complaint. Disappointing.
  
"
1.0 out of 5 stars,"







  
  
    Does not contain any sought after sets, just very recent ones that are over priced. Also packs are likely weighted in order for them to sell all the crap packs. Didn't even get one holo card from the 3 packs.
  
"
5.0 out of 5 stars,"







  
  
    My daughters loved them. 2 out of the 3 packs had vmax cards.
  
"
1.0 out of 5 stars,"







  
  
    Pack is clearly resealed
  
"
5.0 out of 5 stars,"







  
  
    Bon kit de 3paquets oarfait pour offrir en cadeau ou poyr les bas de noel
  
"
5.0 out of 5 stars,"







  
  
    My Grandsons and granddaughter loved them
  
"
5.0 out of 5 stars,"







  
  
    Notre fils est tout simplement heureux.Colis arrivé rapidement et euh... que dire de plus ,bref tout est ok!
  
"
5.0 out of 5 stars,"







  
  
    Bonne valeur qualité prix...vrai carte...shiping rapide
  
"
1.0 out of 5 stars,"







  
  
    I did not order this i ordered a Elite trainer box for 70. Not 3 packs of cards. I need the Elite.
  
"
1.0 out of 5 stars,"







  
  
    All fake cards, do not buy and no return
  
"
1.0 out of 5 stars,"







  
  
    Photos mensongaire, j ai acheté des cartes breakpoint et j ai reçu des cartes basic l'une et soleil. C est du vol...
  
"
5.0 out of 5 stars,"







  
  
    Notre petit-fils en fait une collection donc super heureux.
  
"
3.0 out of 5 stars,"







  
  
    Would recommend to people who are new to the pokemon buying online experience
  
"
1.0 out of 5 stars,"







  
  
    Re sealed packs with like 1 real pack, very unlikely to get something good. Avoid if you can.
  
"
1.0 out of 5 stars,"







  
  
    Don’t expect to get the booster packs in the profile picture. False Advertising.
  
"
4.0 out of 5 stars,"







  
  
    Il en veut d’autres
  
"
5.0 out of 5 stars,"







  
  
    Daughter was super happy and found a rare card she says.
  
"
5.0 out of 5 stars,"







  
  
    Good Price will keep buying online.Arrived fast with Prime
  
"
5.0 out of 5 stars,"







  
  
    I like this product because you don't know which cards you're going to get.
  
"
5.0 out of 5 stars,"







  
  
    VG
  
"
4.0 out of 5 stars,"







  
  
    Good Gift.
  
"
3.0 out of 5 stars,"







  
  
    Packs seemed resealed. A bunch of doubles, no foil, no holos. Bought multiple packs. Still was fun to open
  
"
5.0 out of 5 stars,"







  
  
    Nephew loves it
  
"
2.0 out of 5 stars,"







  
  
    The seal just didnt seem right as if the good card have been taken out and replaced
  
"
1.0 out of 5 stars,"







  
  
    Will never get this product again spent to much and  didn't get anything
  
"
4.0 out of 5 stars,"







  
  
    My kids pulled some great rare cards from these packs... and they were authentic and good condition
  
"
1.0 out of 5 stars,"







  
  
    Tampered
  
"
1.0 out of 5 stars,"







  
  
    I like that it pokecmonI dislike the it did not come at all
  
"
5.0 out of 5 stars,"







  
  
    Pour donner à mon petit-fils.Et oui il est content.Merci
  
"
1.0 out of 5 stars,"







  
  
    Only 2 packs and not one pack from the picture don't know if got stolen in the mail unlikely since only 1 of 3 packs were missing
  
"
2.0 out of 5 stars,"







  
  
    Packs are reseated and they take all the good cards and leave only one, very disappointing coming from the original Pokémon store.
  
"
4.0 out of 5 stars,"







  
  
    As advertised.
  
"
5.0 out of 5 stars,"







  
  
    Very happy with the package i received
  
"
5.0 out of 5 stars,"







  
  
    It will give my grandkids great pleasure and that is the most important thing for them and me!
  
"
5.0 out of 5 stars,"







  
  
    Good product fast shipping
  
"
1.0 out of 5 stars,"







  
  
    SCAM. DO NOT BUY THESE. NO REFUND AVAILABLE.RESEALED
  
"
2.0 out of 5 stars,"







  
  
    The description was stating a total of 30 card (3 pack of 10 card each )I have only received 2 pack of 10 cards and 1 pack of 4 cards
  
"
5.0 out of 5 stars,"







  
  
    Cards arrived undamaged! Buying again someday 😁
  
"
5.0 out of 5 stars,"







  
  
    The arrived in less than 24h! WowAwesome cards. My son was so happy.
  
"
1.0 out of 5 stars,"







  
  
    Pictures shows 3 packs but received only 1!
  
"
5.0 out of 5 stars,"







  
  
    I ended up with 33 cards instead of 30, which I’m not complaining about. I got good cards, 2 shiny’s and one EX. The packaging did look resealed, but otherwise good.
  
"
5.0 out of 5 stars,"







  
  
    Pour offrir un cadeau à mon petit fils.  Il était bien content du cadeau.Bonne journée!
  
"
4.0 out of 5 stars,"







  
  
    it was a Birthday gift for grandson
  
"
1.0 out of 5 stars,"







  
  
    One card was flipped the wrong way no good cards uneven top of the pack
  
"
5.0 out of 5 stars,"







  
  
    Cards arrived quickly. There was a lot of variety and my kids were very happy with them.
  
"
4.0 out of 5 stars,"







  
  
    They did not seem to be resealed, had good pulls.
  
"
5.0 out of 5 stars,"







  
  
    Package was great. And it was fast
  
"
2.0 out of 5 stars,"







  
  
    They may have been opened and resealed.
  
"
5.0 out of 5 stars,"







  
  
    Got really good pulls out of most of the packages. Quite satisfied will buy again
  
"
5.0 out of 5 stars,"







  
  
    My son like these cards. Price wise also okay.
  
"
5.0 out of 5 stars,"







  
  
    Parfait
  
"
1.0 out of 5 stars,"







  
  
    Beware: Only received one pack instead of 3 as advertised.
  
"
1.0 out of 5 stars,"







  
  
    Ne le conseille pas
  
"
2.0 out of 5 stars,"







  
  
    2 of 6 packs were resealed, got random holos. Not recommended.
  
"
4.0 out of 5 stars,"







  
  
    My son likes it
  
"
1.0 out of 5 stars,"







  
  
    Only received 2 out of the 3 packs when my order arrived.
  
"
5.0 out of 5 stars,"







  
  
    Exactly what we were looking for
  
"
5.0 out of 5 stars,"







  
  
    Cards came in good condition, I had some trouble with the product but was resolved quickly. Would purchase again.
  
"
5.0 out of 5 stars,"







  
  
    great condition and not the same pack sets
  
"
1.0 out of 5 stars,"







  
  
    Les photos afficher ne represente pas le bons produit. Vraiment deçu.
  
"
5.0 out of 5 stars,"







  
  
    Les enfants on bien aimé
  
"
5.0 out of 5 stars,"







  
  
    Cards came in sealed packages, no signs of tampering. Got a couple good cards too.
  
"
1.0 out of 5 stars,"







  
  
    twice the price, half the value of the 50 pack.
  
"
4.0 out of 5 stars,"







  
  
    Arrive en bonne état à tout les fois. Par contre le prix augmente de semaine en semaine.
  
"
1.0 out of 5 stars,"







  
  
    Ce n'est pas du tout des cartes boosters! Fausse pub!
  
"
5.0 out of 5 stars,"







  
  
    Mon fils.est très content !!! Prix abordable tellement qu'ils s' en ai recommander !!!
  
"
4.0 out of 5 stars,"







  
  
    My kid couldnt have been happier !
  
"
4.0 out of 5 stars,"







  
  
    given as a gift
  
"
5.0 out of 5 stars,"







  
  
    My nephew enjoyed it a lot
  
"
5.0 out of 5 stars,"







  
  
    My kids love it. Came on time as well.
  
"
2.0 out of 5 stars,"







  
  
    My son was so exited and was hoping for at least one gx but he got no good cards and he is very disappointed. Not fake and good quality but I probably wouldn't buy again.
  
"
5.0 out of 5 stars,"







  
  
    Cadeau pour un enfant de 9 ans
  
"
5.0 out of 5 stars,"







  
  
    Birthday gift fir grand children
  
"
4.0 out of 5 stars,"







  
  
    I was glad to get it as fast as I did
  
"
1.0 out of 5 stars,"







  
  
    This is a big scam!! The only things that I've got are XY booster pack that I payed very expensive for this collection!!!! this is unacceptable!!!
  
"
5.0 out of 5 stars,"







  
  
    Shipped right away. Received quickly. Authentic. Decent price
  
"
5.0 out of 5 stars,"







  
  
    Gifted
  
"
5.0 out of 5 stars,"







  
  
    I pulled a Vmax Dragapult from my purchase, worth 35$ :D
  
"
4.0 out of 5 stars,"







  
  
    Not bad to be honest. Got one holo in each pack. Not bad at all.
  
"
5.0 out of 5 stars,"







  
  
    Fun
  
"
5.0 out of 5 stars,"







  
  
    They were great
  
"
5.0 out of 5 stars,"







  
  
    Collection enfant
  
"
5.0 out of 5 stars,"







  
  
    Bought it for my nephew and he loved it... too good
  
"
3.0 out of 5 stars,"







  
  
    Didn't get anything good
  
"
1.0 out of 5 stars,"







  
  
    Repackaged cards, don't waste your money. Genuinely disappointed someone would be so pathetic to sell this junk online.
  
"
5.0 out of 5 stars,"







  
  
    Thanks Amazon good delivery again. This was part of a larger gift also involving Pokemon. My grandson is 7 and collects everything Pokemon When he, found this and the tin m all of the of the other Pokemon items in it,  he just about lost his mind. Thanks again for the great choices and for the fast service.
  
"
5.0 out of 5 stars,"







  
  
    My daughter was soooo excited and now she is a happy girl. She loves that she got alot of pokemon cards.
  
"
5.0 out of 5 stars,"







  
  
    Pour mon neveu qui les collectionne. Il est très content.
  
"
1.0 out of 5 stars,"







  
  
    2 of 3 packs already opened at the top, and cards were creased. Not the best service, I wouldn't recommend. Doesn't make a great gift if it's already open.You can't even send back just the 2 packs for a partial refund.
  
"
5.0 out of 5 stars,"







  
  
    A very good selection of packs. Ordered 5 times so far and have always got more than my moneys worth when compared to other sellers on here and online auction sites.I am a Pokemon collector and can confirm that none of the packs i received had been tampered with.As with being weighed i would say that they haven't due to me getting some ultra rare pulls but you can never be certain with loose packs.This is just my opinion from the 15 packs i have had so far from this seller. I have ordered other packs from Kstamps and never had any problems and will be ordering more.
  
"
1.0 out of 5 stars,"







  
  
    Item not  in order and no way of reporting this
  
"
1.0 out of 5 stars,"







  
  
    11 cards per pack, clearly states 10 on packaging.Comparison picture to that of some packs bought at Asda. Top row is Asda, bottom these booster packs…. 3vs3 packs I find it hard to believe.Sure luck is always to account for when opening these, but with the blatant resealing (poor glue, lines not matching and of course as above 11 cards).Do yourself a favour save your money unless you’re just starting out, even then money is better spent on legit packs!
  
"
2.0 out of 5 stars,"







  
  
    I do not recommend this seller at all. This product did not ship as advertised. It was supposed to have three packs of cards. It had two packs of cards and then three smaller packs with just 4 detective Pikachu cards in it. These are meant to be favors at my son’s birthday party and now I am short the packs needed
  
"
1.0 out of 5 stars,"







  
  
    Completely different cards to what was advertised and one pack has clearly been sliced open and restuck back together.
  
"
5.0 out of 5 stars,"







  
  
    Bought for my 9yo grandson., he was very pleased with them, apparently he now has the best Pokemon collection in his school, and I'm a really cool grandad :-)
  
"
5.0 out of 5 stars,"







  
  
    Bought these many times and they always come in perfect condition and are 100% legitimate. Come with code card for online game. Got some great pulls every time.
  
"
1.0 out of 5 stars,"







  
  
    Il y a des erreurs entre la ligne principale qui indique 3 paquets de 30 cartes. Et à l'intérieur de la description beaucoup plus bas, ça dit 10 cartes par lot. C'est une mauvaise représentation du produit.
  
"
5.0 out of 5 stars,"







  
  
    The quarry tee that there rare and no duplicates.
  
"
5.0 out of 5 stars,"







  
  
    Exactly as expected.  Kids loved them and were happy with the selection .
  
"
5.0 out of 5 stars,"







  
  
    The packs were purchased for r my 8 year old grandson which he loves .However, the price paid is too high
  
"
5.0 out of 5 stars,"







  
  
    Idk why all these people are so salty but none of these are resealed and i pulled some good cards
  
"
5.0 out of 5 stars,"







  
  
    Happy with my purchase
  
"
5.0 out of 5 stars,"







  
  
    The packaging was well enough protected so nothing got damaged , i didn't pull any good cards but wouldn't complain about anything else.
  
"
5.0 out of 5 stars,"







  
  
    No legendaries in 3 decks? Waste of money.
  
"
5.0 out of 5 stars,"







  
  
    Any Pokémon fan will love it
  
"
5.0 out of 5 stars,"







  
  
    Exactly as ordered!
  
"
5.0 out of 5 stars,"







  
  
    Common cards
  
"
5.0 out of 5 stars,"







  
  
    Thank you
  
"
5.0 out of 5 stars,"







  
  
    Cadeaux
  
"
5.0 out of 5 stars,"







  
  
    Cadeau petit fils, ne peut commenter car connais pas
  
"
5.0 out of 5 stars,"







  
  
    I have pretty much zero knowledge of Pokemon. But my 5 year grandson that I bought them for, loves them. That's all that matters to me.
  
"
5.0 out of 5 stars,"







  
  
    Good.
  
"
5.0 out of 5 stars,"







  
  
    Great
  
"
4.0 out of 5 stars,"







  
  
    Slight damage to packs but otherwise decent and legitimate cards
  
"
4.0 out of 5 stars,"







  
  
    Ordered these for my 9yo son.  Contrary to the various reviews saying that the packages were tampered with and resealed, this was not our experience.  My son says that he didn't get many ""amazing"" cards - whatever that means - but overall, very happy with the purchase.
  
"
2.0 out of 5 stars,"







  
  
    My 7-year old purchased three packs from his hard earned chore money after reading the description and anticipating at least some valuable cards. He cried in utter disappointment after waiting two weeks for them to arrive (we are military overseas) saying: “They are all weak Pokémon.” There were no EX in either of the packs nor any other special Pokémon. I know that there is no guarantee but seeing your child cry and asking if he can get his money back was heartbreaking. I’d suggest changing the description of the product.
  
"
3.0 out of 5 stars,"







  
    Tutti brutti pacchetti.
  
  
"
1.0 out of 5 stars,"







  
  
    Trust me when I say there is no point in buying this there tampered with and  Resealed you will not get anything good and if you think oo ill try my luck it is pointless this is a massive massive scam im beyond disappointed with this and will not be buying off amazon for pokemon agin
  
"
1.0 out of 5 stars,"







  
  
    Packs have been tampered with (opened and resealed). Bought multiple times just to confirm, all packs were resealed and all shiny/rare cards had been removed. Your still gonna get 3 full booster packs but don't expect any decent cards.
  
"
1.0 out of 5 stars,"







  
  
    The cards packs arrived and I was quite excited. However upon feeling the pack it felt re-sealed (you can tell they used some heating method to seal the packs back up). I opened the packs and to my surprise there were 11 cards in each pack. Only junk. I would not recommend. I’ve opened genuine packs before, let me tell you this doesn’t look genuine at all. Don’t waste your money
  
"
1.0 out of 5 stars,"







  
  
    Not the packs advertised, 100% re sealed packs, very disappointed ,
  
"
5.0 out of 5 stars,"







  
  
    Love my Pokémon cards and have brought them multiple times. I do think it depend on the packs you get the as one of the last packs I brought was slightly bent. which if you collect cards and get a decent one would affect the grading quality none the less tho if you like your Pokémon cards order and enjoy
  
"
3.0 out of 5 stars,"







  
  
    Good value for your money, however I bought 2 packs and 4 were the same and the other 2 were the same, none of the were the cards on picture which is what draws people into buy, I may buy again to see if I’m wrong and if I do get different packs I’ll be leaving 5*
  
"
1.0 out of 5 stars,"







  
  
    The advertisement is misleading. The cards are very basic and is waste of money.
  
"
4.0 out of 5 stars,"







  
  
    Came perfect, can’t wait to order again!
  
"
5.0 out of 5 stars,"







  
  
    Great present for any pokemon card collector
  
"
5.0 out of 5 stars,"







  
  
    Very happy they were all new and unopened and as a bonus I received an extra promo card
  
"
4.0 out of 5 stars,"







  
  
    Only 1 shiny
  
"
1.0 out of 5 stars,"







  
  
    Absolutely waste of money. Packaging resealed. No good pulls at all.
  
"
5.0 out of 5 stars,"







  
  
    Pokemon cards are really only good value for money because they cause such joy for the child collector who receives them, which is priceless. I do think they are too expensive, as a small pack is £4 where I live with only a few cards in the pack and so many cards are needed for a good collection.
  
"
5.0 out of 5 stars,"







  
  
    My son is happy 😁
  
"
4.0 out of 5 stars,"







  
  
    My son was over the moon
  
"
5.0 out of 5 stars,"







  
  
    As described
  
"
5.0 out of 5 stars,"







  
  
    Well packaged and delivered earlier than expected.Got some good pulls, didn't seem tampered with. Will definitely order again
  
"
5.0 out of 5 stars,"







  
  
    It was good
  
"
1.0 out of 5 stars,"







  
  
    Only sent 2 out of the 3 packs
  
"
5.0 out of 5 stars,"







  
  
    No resealing noticed on cards, was pleasantly surprised to also recieve 'Fusion Strike' booster packs. Got one full art holo - but a good deal nonetheless. Read alot about resealed stuff but luckily did not get any. Condition of cards was also good.
  
"
1.0 out of 5 stars,"







  
    ACHTUNG! Die booster sind resealed, die obere Kante ist schief abgeschnitten.Man wird ein paar v oder vmax Karten in den boostern drin haben, aber keine Big Hits, weil diese bereits entfernt wurden.Außerdem waren einige Karten falsch herum in den Packs.
  
  
"
5.0 out of 5 stars,"







  
    Yo compré cartas de Pokémon para intercambiar Con mis nietos, ellos y yo estamos felices porque tenemos una actividad común
  
  
"
1.0 out of 5 stars,"







  
    Random pack avec image de booster du bloc XY et vous recevez du bloc Epée et bouclier ! Et je suspect même que les boosters soit pesés !
  
  
"
1.0 out of 5 stars,"







  
  
    Some of my packs we're obvious reseals, was not centered and some were even cut! Cards inside we're flipped in different directions, and no surprise out of the 5 orders, not a single good card
  
"
